人类基因	小鼠基因	提取状态
ENSG00000224516	ENSMUSG00000089821	成功
ENSG00000275773	ENSMUSG00000104230	成功
ENSG00000259847	ENSMUSG00000110269	成功
ENSG00000259654	ENSMUSG00000109140	成功
ENSG00000260095	ENSMUSG00000085185	成功
ENSG00000229983	ENSMUSG00000102246	成功
ENSG00000237738	ENSMUSG00000106543	成功
ENSG00000266765	ENSMUSG00000086135	成功
ENSG00000235016	ENSMUSG00000102375	成功
ENSG00000239774	ENSMUSG00000104588	成功
ENSG00000254966	ENSMUSG00000109118	成功
ENSG00000251264	ENSMUSG00000106726	成功
ENSG00000232993	ENSMUSG00000087195	成功
ENSG00000242767	ENSMUSG00000085499	成功
ENSG00000225951	ENSMUSG00000085491	成功
ENSG00000254639	ENSMUSG00000087197	成功
ENSG00000268191	ENSMUSG00000091390	成功
ENSG00000235862	ENSMUSG00000103685	成功
ENSG00000265478	ENSMUSG00000087120	成功
ENSG00000267249	ENSMUSG00000097835	成功
ENSG00000249924	ENSMUSG00000104898	成功
ENSG00000226643	ENSMUSG00000103305	成功
ENSG00000239498	ENSMUSG00000100827	成功
ENSG00000227199	ENSMUSG00000106801	成功
ENSG00000280374	ENSMUSG00000087527	成功
ENSG00000262227	ENSMUSG00000085528	成功
ENSG00000224854	ENSMUSG00000085147	成功
ENSG00000276807	ENSMUSG00000097651	成功
ENSG00000225826	ENSMUSG00000103320	成功
ENSG00000226310	ENSMUSG00000101291	成功
ENSG00000233144	ENSMUSG00000084942	成功
ENSG00000203325	ENSMUSG00000086369	成功
ENSG00000281460	ENSMUSG00000084840	成功
ENSG00000278989	ENSMUSG00000109245	成功
ENSG00000243389	ENSMUSG00000085485	成功
ENSG00000250546	ENSMUSG00000106255	成功
ENSG00000224666	ENSMUSG00000087308	成功
ENSG00000259561	ENSMUSG00000108365	成功
ENSG00000261831	ENSMUSG00000103705	成功
ENSG00000269931	ENSMUSG00000085071	成功
ENSG00000272033	ENSMUSG00000103768	成功
ENSG00000235047	ENSMUSG00000086559	成功
ENSG00000251635	ENSMUSG00000106566	成功
ENSG00000229498	ENSMUSG00000108435	成功
ENSG00000236352	ENSMUSG00000086999	成功
ENSG00000258910	ENSMUSG00000101275	成功
ENSG00000258337	ENSMUSG00000106912	成功
ENSG00000248724	ENSMUSG00000099722	成功
ENSG00000243944	ENSMUSG00000106553	成功
ENSG00000246223	ENSMUSG00000086319	成功
ENSG00000251224	ENSMUSG00000052724	成功
ENSG00000265125	ENSMUSG00000086971	成功
ENSG00000261573	ENSMUSG00000098243	成功
ENSG00000237259	ENSMUSG00000074758	成功
ENSG00000245008	ENSMUSG00000098645	成功
ENSG00000260579	ENSMUSG00000108991	成功
ENSG00000239213	ENSMUSG00000103624	成功
ENSG00000227496	ENSMUSG00000085563	成功
ENSG00000279459	ENSMUSG00000085228	成功
ENSG00000228988	ENSMUSG00000105683	成功
ENSG00000283411	ENSMUSG00000087028	成功
ENSG00000231128	ENSMUSG00000104874	成功
ENSG00000275393	ENSMUSG00000102737	成功
ENSG00000256894	ENSMUSG00000085414	成功
ENSG00000256897	ENSMUSG00000097868	成功
ENSG00000224090	ENSMUSG00000089653	成功
ENSG00000261316	ENSMUSG00000100616	成功
ENSG00000231104	ENSMUSG00000091378	成功
ENSG00000259478	ENSMUSG00000109458	成功
ENSG00000267302	ENSMUSG00000087013	成功
ENSG00000261799	ENSMUSG00000097011	成功
ENSG00000267872	ENSMUSG00000044081	成功
ENSG00000259244	ENSMUSG00000109401	成功
ENSG00000260751	ENSMUSG00000108752	成功
ENSG00000260969	ENSMUSG00000090217	成功
ENSG00000260670	ENSMUSG00000107558	成功
ENSG00000223343	ENSMUSG00000102244	成功
ENSG00000244055	ENSMUSG00000104950	成功
ENSG00000272632	ENSMUSG00000110045	成功
ENSG00000269652	ENSMUSG00000108413	成功
ENSG00000224718	ENSMUSG00000103186	成功
ENSG00000258454	ENSMUSG00000097543	成功
ENSG00000228275	ENSMUSG00000087024	成功
ENSG00000250057	ENSMUSG00000105755	成功
ENSG00000280444	ENSMUSG00000105604	成功
ENSG00000256811	ENSMUSG00000104951	成功
ENSG00000256747	ENSMUSG00000086021	成功
ENSG00000259445	ENSMUSG00000108991	成功
ENSG00000272477	ENSMUSG00000102744	成功
ENSG00000231892	ENSMUSG00000085540	成功
ENSG00000259058	ENSMUSG00000097208	成功
ENSG00000268707	ENSMUSG00000086405	成功
ENSG00000233271	ENSMUSG00000087051	成功
ENSG00000250385	ENSMUSG00000085881	成功
ENSG00000254675	ENSMUSG00000086433	成功
ENSG00000236535	ENSMUSG00000103343	成功
ENSG00000235501	ENSMUSG00000105813	成功
ENSG00000279372	ENSMUSG00000097658	成功
ENSG00000279356	ENSMUSG00000062704	成功
ENSG00000281809	ENSMUSG00000085981	成功
ENSG00000230393	ENSMUSG00000085391	成功
ENSG00000267213	ENSMUSG00000100387	成功
ENSG00000230372	ENSMUSG00000085861	成功
ENSG00000264012	ENSMUSG00000097222	成功
ENSG00000270933	ENSMUSG00000107993	成功
ENSG00000280650	ENSMUSG00000106469	成功
ENSG00000248545	ENSMUSG00000106981	成功
ENSG00000256101	ENSMUSG00000090192	成功
ENSG00000229323	ENSMUSG00000098096	成功
ENSG00000227306	ENSMUSG00000109936	成功
ENSG00000279173	ENSMUSG00000086722	成功
ENSG00000236021	ENSMUSG00000103186	成功
ENSG00000280194	ENSMUSG00000108546	成功
ENSG00000233237	ENSMUSG00000100775	成功
ENSG00000248429	ENSMUSG00000098204	成功
ENSG00000237851	ENSMUSG00000101014	成功
ENSG00000269929	ENSMUSG00000103373	成功
ENSG00000259534	ENSMUSG00000109364	成功
ENSG00000268038	ENSMUSG00000097360	成功
ENSG00000253641	ENSMUSG00000090785	成功
ENSG00000272356	ENSMUSG00000087014	成功
ENSG00000272087	ENSMUSG00000103718	成功
ENSG00000227006	ENSMUSG00000089745	成功
ENSG00000278894	ENSMUSG00000097616	成功
ENSG00000115934	ENSMUSG00000107802	成功
ENSG00000273356	ENSMUSG00000090570	成功
ENSG00000260566	ENSMUSG00000108351	成功
ENSG00000224812	ENSMUSG00000099869	成功
ENSG00000263982	ENSMUSG00000101773	成功
ENSG00000258843	ENSMUSG00000020992	成功
ENSG00000261409	ENSMUSG00000086907	成功
ENSG00000265254	ENSMUSG00000086586	成功
ENSG00000233061	ENSMUSG00000103334	成功
ENSG00000237057	ENSMUSG00000086841	成功
ENSG00000262098	ENSMUSG00000085207	成功
ENSG00000228843	ENSMUSG00000087142	成功
ENSG00000248242	ENSMUSG00000105085	成功
ENSG00000225002	ENSMUSG00000099421	成功
ENSG00000280422	ENSMUSG00000101411	成功
ENSG00000227117	ENSMUSG00000085559	成功
ENSG00000230733	ENSMUSG00000089889	成功
ENSG00000234653	ENSMUSG00000108173	成功
ENSG00000272301	ENSMUSG00000055446	成功
ENSG00000273196	ENSMUSG00000079524	成功
ENSG00000256482	ENSMUSG00000086731	成功
ENSG00000231119	ENSMUSG00000085274	成功
ENSG00000264012	ENSMUSG00000095438	成功
ENSG00000279500	ENSMUSG00000104175	成功
ENSG00000269987	ENSMUSG00000034587	成功
ENSG00000233953	ENSMUSG00000086612	成功
ENSG00000236234	ENSMUSG00000085154	成功
ENSG00000230190	ENSMUSG00000107606	成功
ENSG00000236795	ENSMUSG00000107515	成功
ENSG00000260976	ENSMUSG00000100357	成功
ENSG00000278936	ENSMUSG00000104512	成功
ENSG00000267466	ENSMUSG00000087486	成功
ENSG00000225969	ENSMUSG00000107296	成功
ENSG00000262313	ENSMUSG00000075389	成功
ENSG00000235503	ENSMUSG00000085352	成功
ENSG00000235120	ENSMUSG00000102152	成功
ENSG00000245954	ENSMUSG00000105012	成功
ENSG00000272719	ENSMUSG00000105594	成功
ENSG00000222041	ENSMUSG00000107460	成功
ENSG00000230402	ENSMUSG00000104653	成功
ENSG00000249152	ENSMUSG00000107525	成功
ENSG00000186056	ENSMUSG00000086262	成功
ENSG00000278989	ENSMUSG00000109429	成功
ENSG00000277245	ENSMUSG00000098778	成功
ENSG00000228560	ENSMUSG00000102701	成功
ENSG00000235445	ENSMUSG00000086527	成功
ENSG00000153363	ENSMUSG00000102840	成功
ENSG00000268051	ENSMUSG00000109168	成功
ENSG00000248870	ENSMUSG00000102756	成功
ENSG00000271763	ENSMUSG00000108548	成功
ENSG00000260973	ENSMUSG00000108455	成功
ENSG00000248954	ENSMUSG00000085992	成功
ENSG00000250431	ENSMUSG00000110249	成功
ENSG00000270093	ENSMUSG00000103049	成功
ENSG00000278239	ENSMUSG00000108415	成功
ENSG00000282876	ENSMUSG00000086030	成功
ENSG00000235011	ENSMUSG00000104816	成功
ENSG00000256695	ENSMUSG00000106887	成功
ENSG00000259320	ENSMUSG00000108828	成功
ENSG00000268873	ENSMUSG00000086287	成功
ENSG00000256287	ENSMUSG00000107638	成功
ENSG00000270006	ENSMUSG00000097424	成功
ENSG00000260838	ENSMUSG00000102937	成功
ENSG00000260969	ENSMUSG00000089797	成功
ENSG00000256073	ENSMUSG00000085398	成功
ENSG00000239661	ENSMUSG00000103547	成功
ENSG00000274156	ENSMUSG00000097093	成功
ENSG00000279708	ENSMUSG00000039133	成功
ENSG00000280057	ENSMUSG00000090069	成功
ENSG00000256424	ENSMUSG00000104873	成功
ENSG00000275850	ENSMUSG00000108267	成功
ENSG00000259546	ENSMUSG00000097016	成功
ENSG00000237798	ENSMUSG00000086382	成功
ENSG00000254222	ENSMUSG00000087564	成功
ENSG00000269935	ENSMUSG00000097969	成功
ENSG00000235533	ENSMUSG00000087540	成功
ENSG00000180769	ENSMUSG00000106451	成功
ENSG00000238232	ENSMUSG00000051295	成功
ENSG00000238063	ENSMUSG00000098760	成功
ENSG00000272301	ENSMUSG00000109101	成功
ENSG00000247728	ENSMUSG00000108721	成功
ENSG00000249464	ENSMUSG00000105252	成功
ENSG00000269653	ENSMUSG00000100400	成功
ENSG00000248890	ENSMUSG00000110294	成功
ENSG00000259692	ENSMUSG00000109042	成功
ENSG00000250819	ENSMUSG00000105347	成功
ENSG00000267291	ENSMUSG00000097455	成功
ENSG00000231177	ENSMUSG00000097994	成功
ENSG00000262006	ENSMUSG00000109265	成功
ENSG00000270182	ENSMUSG00000107895	成功
ENSG00000228255	ENSMUSG00000103510	成功
ENSG00000237798	ENSMUSG00000087176	成功
ENSG00000254768	ENSMUSG00000102124	成功
ENSG00000259291	ENSMUSG00000108476	成功
ENSG00000232913	ENSMUSG00000101079	成功
ENSG00000278709	ENSMUSG00000087600	成功
ENSG00000245311	ENSMUSG00000107969	成功
ENSG00000275248	ENSMUSG00000109271	成功
ENSG00000251635	ENSMUSG00000105251	成功
ENSG00000261669	ENSMUSG00000108452	成功
ENSG00000259926	ENSMUSG00000110377	成功
ENSG00000274670	ENSMUSG00000097152	成功
ENSG00000258028	ENSMUSG00000104861	成功
ENSG00000279683	ENSMUSG00000102939	成功
ENSG00000226390	ENSMUSG00000087293	成功
ENSG00000259518	ENSMUSG00000108845	成功
ENSG00000226825	ENSMUSG00000087614	成功
ENSG00000233096	ENSMUSG00000086365	成功
ENSG00000267219	ENSMUSG00000108732	成功
ENSG00000272981	ENSMUSG00000102873	成功
ENSG00000256262	ENSMUSG00000105664	成功
ENSG00000279945	ENSMUSG00000108536	成功
ENSG00000232788	ENSMUSG00000085439	成功
ENSG00000228353	ENSMUSG00000100625	成功
ENSG00000251173	ENSMUSG00000107155	成功
ENSG00000230015	ENSMUSG00000104343	成功
ENSG00000226083	ENSMUSG00000087086	成功
ENSG00000259548	ENSMUSG00000102156	成功
ENSG00000205106	ENSMUSG00000085293	成功
ENSG00000277978	ENSMUSG00000074128	成功
ENSG00000257438	ENSMUSG00000020033	成功
ENSG00000254913	ENSMUSG00000105976	成功
ENSG00000269667	ENSMUSG00000097087	成功
ENSG00000273474	ENSMUSG00000086018	成功
ENSG00000250544	ENSMUSG00000103196	成功
ENSG00000259724	ENSMUSG00000103673	成功
ENSG00000254526	ENSMUSG00000086758	成功
ENSG00000267137	ENSMUSG00000085514	成功
ENSG00000259432	ENSMUSG00000101859	成功
ENSG00000253424	ENSMUSG00000085476	成功
ENSG00000274605	ENSMUSG00000100585	成功
ENSG00000277863	ENSMUSG00000109346	成功
ENSG00000259424	ENSMUSG00000108828	成功
ENSG00000231172	ENSMUSG00000101404	成功
ENSG00000274765	ENSMUSG00000103556	成功
ENSG00000254622	ENSMUSG00000110093	成功
ENSG00000249678	ENSMUSG00000105079	成功
ENSG00000224137	ENSMUSG00000100437	成功
ENSG00000214039	ENSMUSG00000105483	成功
ENSG00000250208	ENSMUSG00000104581	成功
ENSG00000249483	ENSMUSG00000099340	成功
ENSG00000249614	ENSMUSG00000105765	成功
ENSG00000254539	ENSMUSG00000104795	成功
ENSG00000255429	ENSMUSG00000109334	成功
ENSG00000259551	ENSMUSG00000104453	成功
ENSG00000261291	ENSMUSG00000110106	成功
ENSG00000278084	ENSMUSG00000105881	成功
ENSG00000279774	ENSMUSG00000103043	成功
ENSG00000253687	ENSMUSG00000085951	成功
ENSG00000259097	ENSMUSG00000086319	成功
ENSG00000265519	ENSMUSG00000085170	成功
ENSG00000237301	ENSMUSG00000073731	成功
ENSG00000279722	ENSMUSG00000110233	成功
ENSG00000276269	ENSMUSG00000110245	成功
ENSG00000261630	ENSMUSG00000109709	成功
ENSG00000279322	ENSMUSG00000100630	成功
ENSG00000259767	ENSMUSG00000108991	成功
ENSG00000259403	ENSMUSG00000109412	成功
ENSG00000267439	ENSMUSG00000109224	成功
ENSG00000275560	ENSMUSG00000108276	成功
ENSG00000273015	ENSMUSG00000097619	成功
ENSG00000230286	ENSMUSG00000107086	成功
ENSG00000225969	ENSMUSG00000104195	成功
ENSG00000262837	ENSMUSG00000085509	成功
ENSG00000270876	ENSMUSG00000109049	成功
ENSG00000248359	ENSMUSG00000100733	成功
ENSG00000261646	ENSMUSG00000109629	成功
ENSG00000237903	ENSMUSG00000084990	成功
ENSG00000248184	ENSMUSG00000107192	成功
ENSG00000198671	ENSMUSG00000100143	成功
ENSG00000248559	ENSMUSG00000084800	成功
ENSG00000227157	ENSMUSG00000053640	成功
ENSG00000274885	ENSMUSG00000108085	成功
ENSG00000261024	ENSMUSG00000103928	成功
ENSG00000258478	ENSMUSG00000103136	成功
ENSG00000226985	ENSMUSG00000084806	成功
ENSG00000264243	ENSMUSG00000087117	成功
ENSG00000237479	ENSMUSG00000102266	成功
ENSG00000242753	ENSMUSG00000099672	成功
ENSG00000254787	ENSMUSG00000109382	成功
ENSG00000259312	ENSMUSG00000099387	成功
ENSG00000261421	ENSMUSG00000098257	成功
ENSG00000272832	ENSMUSG00000099616	成功
ENSG00000279701	ENSMUSG00000109278	成功
ENSG00000261729	ENSMUSG00000100954	成功
ENSG00000235688	ENSMUSG00000085472	成功
ENSG00000273338	ENSMUSG00000097293	成功
ENSG00000233645	ENSMUSG00000085097	成功
ENSG00000237513	ENSMUSG00000105042	成功
ENSG00000263388	ENSMUSG00000085479	成功
ENSG00000256482	ENSMUSG00000085785	成功
ENSG00000273113	ENSMUSG00000100927	成功
ENSG00000224717	ENSMUSG00000101549	成功
ENSG00000260035	ENSMUSG00000085633	成功
ENSG00000233002	ENSMUSG00000086841	成功
ENSG00000258283	ENSMUSG00000097587	成功
ENSG00000223626	ENSMUSG00000109623	成功
ENSG00000260135	ENSMUSG00000110023	成功
ENSG00000277087	ENSMUSG00000086250	成功
ENSG00000273448	ENSMUSG00000106691	成功
ENSG00000203897	ENSMUSG00000103761	成功
ENSG00000230454	ENSMUSG00000102144	成功
ENSG00000268231	ENSMUSG00000108719	成功
ENSG00000261478	ENSMUSG00000103663	成功
ENSG00000269998	ENSMUSG00000106542	成功
ENSG00000250431	ENSMUSG00000110047	成功
ENSG00000237017	ENSMUSG00000085039	成功
ENSG00000253143	ENSMUSG00000102639	成功
ENSG00000233154	ENSMUSG00000105611	成功
ENSG00000228008	ENSMUSG00000089935	成功
ENSG00000232648	ENSMUSG00000110363	成功
ENSG00000280333	ENSMUSG00000085765	成功
ENSG00000233143	ENSMUSG00000101812	成功
ENSG00000253699	ENSMUSG00000086071	成功
ENSG00000223392	ENSMUSG00000098630	成功
ENSG00000230695	ENSMUSG00000073652	成功
ENSG00000259453	ENSMUSG00000108495	成功
ENSG00000228140	ENSMUSG00000073728	成功
ENSG00000269987	ENSMUSG00000087111	成功
ENSG00000255487	ENSMUSG00000110229	成功
ENSG00000229206	ENSMUSG00000102599	成功
ENSG00000217825	ENSMUSG00000106160	成功
ENSG00000263494	ENSMUSG00000042549	成功
ENSG00000261672	ENSMUSG00000100510	成功
ENSG00000269873	ENSMUSG00000085886	成功
ENSG00000234327	ENSMUSG00000085251	成功
ENSG00000272791	ENSMUSG00000084942	成功
ENSG00000230381	ENSMUSG00000106070	成功
ENSG00000234698	ENSMUSG00000085596	成功
ENSG00000228065	ENSMUSG00000100528	成功
ENSG00000254833	ENSMUSG00000103259	成功
ENSG00000226083	ENSMUSG00000086657	成功
ENSG00000253339	ENSMUSG00000089982	成功
ENSG00000235996	ENSMUSG00000074753	成功
ENSG00000251517	ENSMUSG00000107206	成功
ENSG00000227083	ENSMUSG00000096946	成功
ENSG00000259820	ENSMUSG00000096967	成功
ENSG00000251151	ENSMUSG00000101356	成功
ENSG00000259018	ENSMUSG00000097652	成功
ENSG00000268051	ENSMUSG00000108905	成功
ENSG00000227432	ENSMUSG00000086053	成功
ENSG00000253181	ENSMUSG00000097262	成功
ENSG00000271973	ENSMUSG00000102770	成功
ENSG00000255814	ENSMUSG00000086047	成功
ENSG00000280744	ENSMUSG00000100908	成功
ENSG00000260955	ENSMUSG00000085623	成功
ENSG00000224509	ENSMUSG00000097063	成功
ENSG00000228436	ENSMUSG00000085875	成功
ENSG00000256546	ENSMUSG00000104694	成功
ENSG00000234988	ENSMUSG00000103647	成功
ENSG00000224817	ENSMUSG00000100618	成功
ENSG00000279858	ENSMUSG00000097609	成功
ENSG00000280347	ENSMUSG00000107320	成功
ENSG00000262213	ENSMUSG00000087322	成功
ENSG00000236045	ENSMUSG00000100396	成功
ENSG00000231246	ENSMUSG00000105148	成功
ENSG00000237738	ENSMUSG00000093720	成功
ENSG00000269054	ENSMUSG00000102084	成功
ENSG00000257654	ENSMUSG00000106912	成功
ENSG00000255087	ENSMUSG00000097355	成功
ENSG00000233920	ENSMUSG00000085030	成功
ENSG00000268149	ENSMUSG00000108888	成功
ENSG00000279699	ENSMUSG00000085512	成功
ENSG00000230698	ENSMUSG00000102540	成功
ENSG00000232937	ENSMUSG00000105391	成功
ENSG00000281406	ENSMUSG00000100037	成功
ENSG00000234199	ENSMUSG00000102240	成功
ENSG00000277559	ENSMUSG00000110068	成功
ENSG00000244345	ENSMUSG00000108122	成功
ENSG00000258497	ENSMUSG00000102657	成功
ENSG00000275719	ENSMUSG00000109647	成功
ENSG00000237552	ENSMUSG00000090163	成功
ENSG00000269887	ENSMUSG00000102594	成功
ENSG00000224459	ENSMUSG00000086818	成功
ENSG00000270760	ENSMUSG00000109224	成功
ENSG00000198454	ENSMUSG00000090073	成功
ENSG00000255621	ENSMUSG00000100876	成功
ENSG00000259282	ENSMUSG00000108821	成功
ENSG00000272545	ENSMUSG00000098257	成功
ENSG00000261664	ENSMUSG00000059027	成功
ENSG00000228317	ENSMUSG00000084970	成功
ENSG00000255958	ENSMUSG00000107715	成功
ENSG00000230140	ENSMUSG00000103182	成功
ENSG00000256073	ENSMUSG00000046119	成功
ENSG00000233849	ENSMUSG00000101655	成功
ENSG00000267968	ENSMUSG00000108774	成功
ENSG00000257476	ENSMUSG00000107063	成功
ENSG00000237464	ENSMUSG00000086179	成功
ENSG00000230454	ENSMUSG00000089935	成功
ENSG00000280026	ENSMUSG00000103309	成功
ENSG00000278934	ENSMUSG00000052236	成功
ENSG00000214955	ENSMUSG00000087190	成功
ENSG00000280351	ENSMUSG00000085636	成功
ENSG00000254630	ENSMUSG00000055446	成功
ENSG00000234636	ENSMUSG00000085891	成功
ENSG00000225555	ENSMUSG00000085637	成功
ENSG00000275367	ENSMUSG00000090192	成功
ENSG00000251660	ENSMUSG00000108283	成功
ENSG00000264666	ENSMUSG00000084766	成功
ENSG00000261504	ENSMUSG00000100502	成功
ENSG00000229102	ENSMUSG00000104231	成功
ENSG00000228792	ENSMUSG00000097089	成功
ENSG00000237063	ENSMUSG00000086638	成功
ENSG00000243018	ENSMUSG00000086729	成功
ENSG00000250208	ENSMUSG00000105772	成功
ENSG00000231177	ENSMUSG00000108154	成功
ENSG00000225030	ENSMUSG00000087289	成功
ENSG00000234019	ENSMUSG00000084885	成功
ENSG00000280078	ENSMUSG00000103301	成功
ENSG00000257530	ENSMUSG00000107970	成功
ENSG00000228528	ENSMUSG00000104199	成功
ENSG00000256218	ENSMUSG00000101659	成功
ENSG00000279157	ENSMUSG00000109385	成功
ENSG00000255458	ENSMUSG00000106767	成功
ENSG00000276248	ENSMUSG00000099338	成功
ENSG00000226925	ENSMUSG00000104441	成功
ENSG00000267778	ENSMUSG00000087432	成功
ENSG00000260519	ENSMUSG00000107385	成功
ENSG00000235979	ENSMUSG00000086841	成功
ENSG00000229190	ENSMUSG00000083545	成功
ENSG00000256172	ENSMUSG00000100681	成功
ENSG00000256311	ENSMUSG00000087124	成功
ENSG00000275888	ENSMUSG00000086835	成功
ENSG00000273487	ENSMUSG00000105421	成功
ENSG00000261478	ENSMUSG00000103831	成功
ENSG00000205054	ENSMUSG00000093460	成功
ENSG00000203288	ENSMUSG00000104631	成功
ENSG00000273456	ENSMUSG00000099811	成功
ENSG00000275850	ENSMUSG00000107060	成功
ENSG00000265927	ENSMUSG00000085844	成功
ENSG00000272727	ENSMUSG00000097174	成功
ENSG00000267603	ENSMUSG00000085985	成功
ENSG00000230943	ENSMUSG00000046463	成功
ENSG00000260997	ENSMUSG00000086808	成功
ENSG00000254787	ENSMUSG00000109320	成功
ENSG00000258210	ENSMUSG00000106375	成功
ENSG00000231453	ENSMUSG00000086069	成功
ENSG00000245275	ENSMUSG00000085719	成功
ENSG00000271904	ENSMUSG00000050334	成功
ENSG00000232184	ENSMUSG00000102749	成功
ENSG00000241202	ENSMUSG00000102406	成功
ENSG00000267466	ENSMUSG00000085511	成功
ENSG00000275880	ENSMUSG00000110245	成功
ENSG00000270457	ENSMUSG00000100129	成功
ENSG00000229896	ENSMUSG00000100071	成功
ENSG00000177410	ENSMUSG00000090397	成功
ENSG00000281327	ENSMUSG00000103228	成功
ENSG00000272070	ENSMUSG00000104225	成功
ENSG00000231295	ENSMUSG00000097364	成功
ENSG00000271742	ENSMUSG00000086818	成功
ENSG00000232837	ENSMUSG00000086899	成功
ENSG00000258920	ENSMUSG00000099597	成功
ENSG00000278095	ENSMUSG00000108161	成功
ENSG00000273002	ENSMUSG00000106218	成功
ENSG00000272702	ENSMUSG00000107682	成功
ENSG00000253819	ENSMUSG00000090002	成功
ENSG00000259712	ENSMUSG00000102176	成功
ENSG00000279364	ENSMUSG00000085508	成功
ENSG00000280125	ENSMUSG00000105274	成功
ENSG00000254002	ENSMUSG00000098248	成功
ENSG00000249017	ENSMUSG00000097814	成功
ENSG00000280123	ENSMUSG00000097019	成功
ENSG00000253854	ENSMUSG00000085027	成功
ENSG00000242012	ENSMUSG00000106512	成功
ENSG00000230300	ENSMUSG00000107047	成功
ENSG00000261229	ENSMUSG00000103165	成功
ENSG00000226363	ENSMUSG00000099521	成功
ENSG00000229261	ENSMUSG00000105203	成功
ENSG00000234055	ENSMUSG00000086356	成功
ENSG00000272966	ENSMUSG00000104052	成功
ENSG00000278934	ENSMUSG00000107421	成功
ENSG00000230432	ENSMUSG00000103145	成功
ENSG00000258274	ENSMUSG00000100550	成功
ENSG00000261312	ENSMUSG00000109379	成功
ENSG00000271725	ENSMUSG00000109450	成功
ENSG00000236209	ENSMUSG00000107453	成功
ENSG00000257083	ENSMUSG00000100681	成功
ENSG00000269974	ENSMUSG00000098708	成功
ENSG00000276278	ENSMUSG00000097277	成功
ENSG00000254691	ENSMUSG00000086433	成功
ENSG00000279460	ENSMUSG00000110179	成功
ENSG00000279098	ENSMUSG00000106122	成功
ENSG00000270182	ENSMUSG00000056445	成功
ENSG00000259647	ENSMUSG00000108533	成功
ENSG00000263051	ENSMUSG00000084993	成功
ENSG00000280196	ENSMUSG00000072591	成功
ENSG00000267665	ENSMUSG00000054418	成功
ENSG00000253887	ENSMUSG00000110367	成功
ENSG00000274765	ENSMUSG00000102971	成功
ENSG00000278716	ENSMUSG00000097773	成功
ENSG00000278698	ENSMUSG00000109346	成功
ENSG00000254551	ENSMUSG00000109574	成功
ENSG00000235085	ENSMUSG00000085230	成功
ENSG00000255921	ENSMUSG00000085785	成功
ENSG00000279328	ENSMUSG00000108271	成功
ENSG00000232679	ENSMUSG00000104212	成功
ENSG00000278698	ENSMUSG00000109438	成功
ENSG00000236305	ENSMUSG00000090873	成功
ENSG00000269621	ENSMUSG00000105412	成功
ENSG00000269194	ENSMUSG00000109198	成功
ENSG00000177133	ENSMUSG00000084987	成功
ENSG00000271869	ENSMUSG00000054618	成功
ENSG00000240015	ENSMUSG00000110229	成功
ENSG00000236144	ENSMUSG00000097674	成功
ENSG00000223479	ENSMUSG00000104329	成功
ENSG00000235822	ENSMUSG00000107360	成功
ENSG00000268316	ENSMUSG00000107181	成功
ENSG00000262869	ENSMUSG00000085609	成功
ENSG00000258888	ENSMUSG00000108513	成功
ENSG00000262231	ENSMUSG00000085230	成功
ENSG00000279708	ENSMUSG00000108599	成功
ENSG00000245148	ENSMUSG00000110239	成功
ENSG00000234917	ENSMUSG00000086683	成功
ENSG00000278611	ENSMUSG00000097469	成功
ENSG00000275417	ENSMUSG00000098294	成功
ENSG00000228648	ENSMUSG00000087478	成功
ENSG00000277013	ENSMUSG00000108723	成功
ENSG00000236546	ENSMUSG00000086153	成功
ENSG00000273253	ENSMUSG00000093394	成功
ENSG00000250976	ENSMUSG00000109265	成功
ENSG00000254495	ENSMUSG00000103394	成功
ENSG00000248399	ENSMUSG00000107128	成功
ENSG00000222001	ENSMUSG00000103996	成功
ENSG00000273211	ENSMUSG00000103103	成功
ENSG00000249717	ENSMUSG00000106712	成功
ENSG00000231227	ENSMUSG00000087294	成功
ENSG00000280399	ENSMUSG00000100281	成功
ENSG00000266961	ENSMUSG00000046415	成功
ENSG00000228613	ENSMUSG00000085472	成功
ENSG00000237373	ENSMUSG00000086899	成功
ENSG00000235908	ENSMUSG00000102152	成功
ENSG00000231512	ENSMUSG00000103634	成功
ENSG00000259946	ENSMUSG00000097311	成功
ENSG00000231246	ENSMUSG00000105846	成功
ENSG00000259594	ENSMUSG00000087088	成功
ENSG00000261898	ENSMUSG00000053574	成功
ENSG00000228768	ENSMUSG00000084969	成功
ENSG00000268307	ENSMUSG00000102084	成功
ENSG00000224322	ENSMUSG00000085696	成功
ENSG00000267420	ENSMUSG00000093467	成功
ENSG00000259343	ENSMUSG00000094841	成功
ENSG00000243187	ENSMUSG00000105286	成功
ENSG00000281131	ENSMUSG00000085431	成功
ENSG00000268739	ENSMUSG00000108783	成功
ENSG00000235908	ENSMUSG00000092218	成功
ENSG00000273771	ENSMUSG00000108836	成功
ENSG00000269749	ENSMUSG00000097455	成功
ENSG00000281706	ENSMUSG00000087643	成功
ENSG00000260859	ENSMUSG00000102665	成功
ENSG00000237453	ENSMUSG00000086940	成功
ENSG00000231605	ENSMUSG00000102484	成功
ENSG00000236753	ENSMUSG00000044471	成功
ENSG00000230172	ENSMUSG00000108625	成功
ENSG00000226825	ENSMUSG00000087070	成功
ENSG00000261823	ENSMUSG00000102411	成功
ENSG00000230749	ENSMUSG00000103828	成功
ENSG00000259546	ENSMUSG00000109450	成功
ENSG00000267582	ENSMUSG00000097296	成功
