人类基因	小鼠基因	人类转录本	小鼠转录本	提取状态
ENSG00000257530	ENSMUSG00000107894	ENST00000551974	ENSMUST00000205001	成功
ENSG00000234912	ENSMUSG00000086859	ENST00000366365	ENSMUST00000182811	成功
ENSG00000258345	ENSMUSG00000100548	ENST00000550840	ENSMUST00000185270	成功
ENSG00000261087	ENSMUSG00000089804	ENST00000565617	ENSMUST00000160264	成功
ENSG00000240476	ENSMUSG00000104456	ENST00000473756	ENSMUST00000193141	成功
ENSG00000283095	ENSMUSG00000110037	ENST00000634373	ENSMUST00000209357	成功
ENSG00000226180	ENSMUSG00000098109	ENST00000538868	ENSMUST00000182121	成功
ENSG00000255517	ENSMUSG00000095913	ENST00000525142	ENSMUST00000178699	成功
ENSG00000260910	ENSMUSG00000110278	ENST00000562710	ENSMUST00000210253	成功
ENSG00000229873	ENSMUSG00000084843	ENST00000431361	ENSMUST00000145549	成功
ENSG00000249096	ENSMUSG00000110264	ENST00000617323	ENSMUST00000209455	成功
ENSG00000250326	ENSMUSG00000109587	ENST00000507826	ENSMUST00000211421	成功
ENSG00000230698	ENSMUSG00000093749	ENST00000435478	ENSMUST00000175729	成功
ENSG00000280003	ENSMUSG00000097592	ENST00000624096	ENSMUST00000180701	成功
ENSG00000259694	ENSMUSG00000109485	ENST00000558110	ENSMUST00000208375	成功
ENSG00000255921	ENSMUSG00000086013	ENST00000546353	ENSMUST00000139612	成功
ENSG00000258620	ENSMUSG00000101767	ENST00000556411	ENSMUST00000189236	成功
ENSG00000266505	ENSMUSG00000085237	ENST00000585222	ENSMUST00000133694	成功
ENSG00000273489	ENSMUSG00000086212	ENST00000610193	ENSMUST00000139185	成功
ENSG00000258554	ENSMUSG00000097372	ENST00000554022	ENSMUST00000180875	成功
ENSG00000255568	ENSMUSG00000022915	ENST00000603064	ENSMUST00000143671	成功
ENSG00000279925	ENSMUSG00000105815	ENST00000625111	ENSMUST00000197208	成功
ENSG00000254649	ENSMUSG00000085443	ENST00000527030	ENSMUST00000131080	成功
ENSG00000249267	ENSMUSG00000106378	ENST00000545784	ENSMUST00000197523	成功
ENSG00000262888	ENSMUSG00000103937	ENST00000571302	ENSMUST00000195629	成功
ENSG00000268231	ENSMUSG00000108322	ENST00000596350	ENSMUST00000206342	成功
ENSG00000250354	ENSMUSG00000109873	ENST00000514843	ENSMUST00000209499	成功
ENSG00000082929	ENSMUSG00000097686	ENST00000504943	ENSMUST00000180816	成功
ENSG00000274718	ENSMUSG00000109551	ENST00000622038	ENSMUST00000208065	成功
ENSG00000279619	ENSMUSG00000097149	ENST00000624372	ENSMUST00000181958	成功
ENSG00000244464	ENSMUSG00000086827	ENST00000462011	ENSMUST00000133622	成功
ENSG00000254902	ENSMUSG00000103394	ENST00000524987	ENSMUST00000193475	成功
ENSG00000259354	ENSMUSG00000087017	ENST00000560647	ENSMUST00000142323	成功
ENSG00000278891	ENSMUSG00000097302	ENST00000623698	ENSMUST00000180957	成功
ENSG00000264829	ENSMUSG00000087064	ENST00000583910	ENSMUST00000132264	成功
ENSG00000225903	ENSMUSG00000102997	ENST00000424418	ENSMUST00000192482	成功
ENSG00000269352	ENSMUSG00000109947	ENST00000599259	ENSMUST00000209808	成功
ENSG00000266369	ENSMUSG00000072847	ENST00000578888	ENSMUST00000101077	成功
ENSG00000259416	ENSMUSG00000097415	ENST00000557908	ENSMUST00000181224	成功
ENSG00000240990	ENSMUSG00000107463	ENST00000520395	ENSMUST00000205090	成功
ENSG00000233429	ENSMUSG00000055408	ENST00000434063	ENSMUST00000141300	成功
ENSG00000256814	ENSMUSG00000104793	ENST00000543922	ENSMUST00000199788	成功
ENSG00000279207	ENSMUSG00000096983	ENST00000624409	ENSMUST00000181900	成功
ENSG00000260167	ENSMUSG00000108806	ENST00000563540	ENSMUST00000206759	成功
ENSG00000269982	ENSMUSG00000108154	ENST00000602436	ENSMUST00000203699	成功
ENSG00000230010	ENSMUSG00000074758	ENST00000457009	ENSMUST00000210200	成功
ENSG00000233760	ENSMUSG00000108244	ENST00000457000	ENSMUST00000203453	成功
ENSG00000274922	ENSMUSG00000079146	ENST00000612143	ENSMUST00000149938	成功
ENSG00000251576	ENSMUSG00000108310	ENST00000502417	ENSMUST00000206250	成功
ENSG00000235984	ENSMUSG00000093551	ENST00000451897	ENSMUST00000176582	成功
ENSG00000228157	ENSMUSG00000085748	ENST00000574724	ENSMUST00000155836	成功
ENSG00000277782	ENSMUSG00000109450	ENST00000620635	ENSMUST00000207602	成功
ENSG00000234917	ENSMUSG00000102819	ENST00000414339	ENSMUST00000195276	成功
ENSG00000226208	ENSMUSG00000105643	ENST00000423187	ENSMUST00000199446	成功
ENSG00000253174	ENSMUSG00000110256	ENST00000578500	ENSMUST00000210217	成功
ENSG00000249061	ENSMUSG00000103196	ENST00000515750	ENSMUST00000193837	成功
ENSG00000260391	ENSMUSG00000085550	ENST00000568966	ENSMUST00000148293	成功
ENSG00000178193	ENSMUSG00000104622	ENST00000433521	ENSMUST00000199871	成功
ENSG00000269549	ENSMUSG00000085649	ENST00000424705	ENSMUST00000143202	成功
ENSG00000261471	ENSMUSG00000097944	ENST00000564809	ENSMUST00000183021	成功
ENSG00000280064	ENSMUSG00000110120	ENST00000622942	ENSMUST00000209486	成功
ENSG00000163597	ENSMUSG00000056032	ENST00000448136	ENSMUST00000156293	成功
ENSG00000260859	ENSMUSG00000097944	ENST00000562393	ENSMUST00000183021	成功
ENSG00000262098	ENSMUSG00000075389	ENST00000576859	ENSMUST00000145437	成功
ENSG00000251002	ENSMUSG00000105418	ENST00000535351	ENSMUST00000197337	成功
ENSG00000279640	ENSMUSG00000086401	ENST00000624002	ENSMUST00000132267	成功
ENSG00000248668	ENSMUSG00000087221	ENST00000508458	ENSMUST00000155191	成功
ENSG00000280392	ENSMUSG00000109642	ENST00000624987	ENSMUST00000211048	成功
ENSG00000223561	ENSMUSG00000108236	ENST00000423689	ENSMUST00000205236	成功
ENSG00000260259	ENSMUSG00000103244	ENST00000567544	ENSMUST00000195600	成功
ENSG00000261595	ENSMUSG00000106251	ENST00000566195	ENSMUST00000197199	成功
ENSG00000230102	ENSMUSG00000097621	ENST00000432154	ENSMUST00000181113	成功
ENSG00000274215	ENSMUSG00000108741	ENST00000614509	ENSMUST00000206316	成功
ENSG00000274331	ENSMUSG00000109291	ENST00000618896	ENSMUST00000207074	成功
ENSG00000236581	ENSMUSG00000097321	ENST00000589800	ENSMUST00000202216	成功
ENSG00000213888	ENSMUSG00000053263	ENST00000504184	ENSMUST00000155332	成功
ENSG00000226197	ENSMUSG00000085022	ENST00000428006	ENSMUST00000137810	成功
ENSG00000179818	ENSMUSG00000108059	ENST00000366234	ENSMUST00000204543	成功
ENSG00000259475	ENSMUSG00000108871	ENST00000559468	ENSMUST00000207427	成功
ENSG00000222007	ENSMUSG00000102009	ENST00000440101	ENSMUST00000187295	成功
ENSG00000261347	ENSMUSG00000109305	ENST00000567742	ENSMUST00000208788	成功
ENSG00000250781	ENSMUSG00000106859	ENST00000508911	ENSMUST00000201074	成功
ENSG00000231764	ENSMUSG00000094868	ENST00000431497	ENSMUST00000178206	成功
ENSG00000231892	ENSMUSG00000105873	ENST00000414126	ENSMUST00000198857	成功
ENSG00000257771	ENSMUSG00000089968	ENST00000546821	ENSMUST00000159738	成功
ENSG00000265519	ENSMUSG00000085762	ENST00000582780	ENSMUST00000128647	成功
ENSG00000230074	ENSMUSG00000103694	ENST00000434627	ENSMUST00000191759	成功
ENSG00000235236	ENSMUSG00000103970	ENST00000415982	ENSMUST00000192908	成功
ENSG00000234698	ENSMUSG00000006462	ENST00000451960	ENSMUST00000130679	成功
ENSG00000268926	ENSMUSG00000089854	ENST00000600140	ENSMUST00000160065	成功
ENSG00000254741	ENSMUSG00000085523	ENST00000529247	ENSMUST00000146755	成功
ENSG00000226627	ENSMUSG00000085745	ENST00000429561	ENSMUST00000125355	成功
ENSG00000216863	ENSMUSG00000099847	ENST00000606992	ENSMUST00000187093	成功
ENSG00000229955	ENSMUSG00000097128	ENST00000454123	ENSMUST00000181207	成功
ENSG00000233903	ENSMUSG00000100199	ENST00000420096	ENSMUST00000186291	成功
ENSG00000263798	ENSMUSG00000087067	ENST00000582262	ENSMUST00000128111	成功
ENSG00000237021	ENSMUSG00000097274	ENST00000448740	ENSMUST00000181185	成功
ENSG00000267081	ENSMUSG00000100616	ENST00000585364	ENSMUST00000188337	成功
ENSG00000283258	ENSMUSG00000110304	ENST00000637961	ENSMUST00000210339	成功
ENSG00000235770	ENSMUSG00000102689	ENST00000423530	ENSMUST00000194017	成功
ENSG00000254604	ENSMUSG00000108851	ENST00000528607	ENSMUST00000207545	成功
ENSG00000250237	ENSMUSG00000100596	ENST00000479830	ENSMUST00000185979	成功
ENSG00000115934	ENSMUSG00000086887	ENST00000538297	ENSMUST00000150559	成功
ENSG00000235947	ENSMUSG00000108219	ENST00000414938	ENSMUST00000203951	成功
ENSG00000256364	ENSMUSG00000086054	ENST00000541383	ENSMUST00000129609	成功
ENSG00000228242	ENSMUSG00000108584	ENST00000420253	ENSMUST00000205547	成功
ENSG00000267249	ENSMUSG00000046415	ENST00000585877	ENSMUST00000127708	成功
ENSG00000236874	ENSMUSG00000087617	ENST00000446280	ENSMUST00000132465	成功
ENSG00000253408	ENSMUSG00000097042	ENST00000521470	ENSMUST00000180411	成功
ENSG00000228559	ENSMUSG00000066170	ENST00000450618	ENSMUST00000181029	成功
ENSG00000254942	ENSMUSG00000085318	ENST00000526411	ENSMUST00000143109	成功
ENSG00000229832	ENSMUSG00000103114	ENST00000447949	ENSMUST00000192778	成功
ENSG00000267081	ENSMUSG00000108330	ENST00000585364	ENSMUST00000205702	成功
ENSG00000242686	ENSMUSG00000105590	ENST00000468356	ENSMUST00000196046	成功
ENSG00000223716	ENSMUSG00000085980	ENST00000422554	ENSMUST00000210118	成功
ENSG00000270190	ENSMUSG00000074813	ENST00000603052	ENSMUST00000125354	成功
ENSG00000269289	ENSMUSG00000103398	ENST00000596326	ENSMUST00000195630	成功
ENSG00000242590	ENSMUSG00000087381	ENST00000418300	ENSMUST00000126009	成功
ENSG00000268388	ENSMUSG00000097336	ENST00000597578	ENSMUST00000182264	成功
ENSG00000280429	ENSMUSG00000087557	ENST00000624545	ENSMUST00000126427	成功
ENSG00000255121	ENSMUSG00000060380	ENST00000526453	ENSMUST00000136322	成功
ENSG00000250133	ENSMUSG00000097003	ENST00000604081	ENSMUST00000181306	成功
ENSG00000278999	ENSMUSG00000109984	ENST00000624169	ENSMUST00000210035	成功
ENSG00000213599	ENSMUSG00000108617	ENST00000565342	ENSMUST00000206873	成功
ENSG00000248866	ENSMUSG00000106943	ENST00000503051	ENSMUST00000132389	成功
ENSG00000260042	ENSMUSG00000109778	ENST00000569986	ENSMUST00000211407	成功
ENSG00000257027	ENSMUSG00000096931	ENST00000537616	ENSMUST00000181825	成功
ENSG00000258294	ENSMUSG00000104006	ENST00000552541	ENSMUST00000193608	成功
ENSG00000277089	ENSMUSG00000051832	ENST00000610845	ENSMUST00000141082	成功
ENSG00000272564	ENSMUSG00000108356	ENST00000608140	ENSMUST00000206867	成功
ENSG00000229931	ENSMUSG00000038152	ENST00000423260	ENSMUST00000189843	成功
ENSG00000212694	ENSMUSG00000087063	ENST00000428029	ENSMUST00000133476	成功
ENSG00000203999	ENSMUSG00000086411	ENST00000457853	ENSMUST00000142374	成功
ENSG00000253416	ENSMUSG00000103881	ENST00000519660	ENSMUST00000194396	成功
ENSG00000272716	ENSMUSG00000097546	ENST00000608489	ENSMUST00000181387	成功
ENSG00000259964	ENSMUSG00000097734	ENST00000566268	ENSMUST00000181046	成功
ENSG00000235897	ENSMUSG00000075265	ENST00000452051	ENSMUST00000141256	成功
ENSG00000257817	ENSMUSG00000106991	ENST00000551875	ENSMUST00000202546	成功
ENSG00000261879	ENSMUSG00000087116	ENST00000571689	ENSMUST00000130837	成功
ENSG00000228016	ENSMUSG00000086231	ENST00000435328	ENSMUST00000132792	成功
ENSG00000280254	ENSMUSG00000085528	ENST00000623798	ENSMUST00000128489	成功
ENSG00000179840	ENSMUSG00000086767	ENST00000377320	ENSMUST00000146532	成功
ENSG00000225439	ENSMUSG00000087578	ENST00000529783	ENSMUST00000125657	成功
ENSG00000254119	ENSMUSG00000086017	ENST00000519990	ENSMUST00000141819	成功
ENSG00000279814	ENSMUSG00000104232	ENST00000623230	ENSMUST00000193294	成功
ENSG00000261730	ENSMUSG00000085981	ENST00000568244	ENSMUST00000135656	成功
ENSG00000232762	ENSMUSG00000087200	ENST00000446686	ENSMUST00000125464	成功
ENSG00000280027	ENSMUSG00000109863	ENST00000623877	ENSMUST00000211364	成功
ENSG00000282977	ENSMUSG00000097050	ENST00000634357	ENSMUST00000181801	成功
ENSG00000227938	ENSMUSG00000102759	ENST00000439700	ENSMUST00000195772	成功
ENSG00000279488	ENSMUSG00000091994	ENST00000624592	ENSMUST00000168521	成功
ENSG00000279443	ENSMUSG00000102796	ENST00000624273	ENSMUST00000194907	成功
ENSG00000271409	ENSMUSG00000037247	ENST00000603033	ENSMUST00000036304	成功
ENSG00000233672	ENSMUSG00000098096	ENST00000629989	ENSMUST00000183203	成功
ENSG00000167117	ENSMUSG00000086003	ENST00000502517	ENSMUST00000155965	成功
ENSG00000225470	ENSMUSG00000097571	ENST00000602895	ENSMUST00000181020	成功
ENSG00000250230	ENSMUSG00000097862	ENST00000506329	ENSMUST00000181743	成功
ENSG00000205885	ENSMUSG00000107552	ENST00000382215	ENSMUST00000203171	成功
ENSG00000255458	ENSMUSG00000106696	ENST00000529094	ENSMUST00000201770	成功
ENSG00000204261	ENSMUSG00000098197	ENST00000413039	ENSMUST00000183290	成功
ENSG00000256569	ENSMUSG00000086368	ENST00000544939	ENSMUST00000149609	成功
ENSG00000280383	ENSMUSG00000097209	ENST00000623075	ENSMUST00000180441	成功
ENSG00000279844	ENSMUSG00000075325	ENST00000623826	ENSMUST00000146034	成功
ENSG00000273890	ENSMUSG00000100548	ENST00000615146	ENSMUST00000188089	成功
ENSG00000260798	ENSMUSG00000097026	ENST00000563916	ENSMUST00000180410	成功
ENSG00000229385	ENSMUSG00000108057	ENST00000443301	ENSMUST00000204246	成功
ENSG00000250132	ENSMUSG00000108282	ENST00000539259	ENSMUST00000204314	成功
ENSG00000265287	ENSMUSG00000087050	ENST00000579019	ENSMUST00000150471	成功
ENSG00000230613	ENSMUSG00000087148	ENST00000412178	ENSMUST00000139912	成功
ENSG00000251175	ENSMUSG00000105691	ENST00000504955	ENSMUST00000196989	成功
ENSG00000259462	ENSMUSG00000097277	ENST00000618020	ENSMUST00000180385	成功
ENSG00000272195	ENSMUSG00000070489	ENST00000607453	ENSMUST00000192920	成功
ENSG00000279748	ENSMUSG00000097000	ENST00000624284	ENSMUST00000181452	成功
ENSG00000279415	ENSMUSG00000108693	ENST00000623371	ENSMUST00000205957	成功
ENSG00000258910	ENSMUSG00000097881	ENST00000557729	ENSMUST00000185678	成功
ENSG00000214548	ENSMUSG00000021268	ENST00000455531	ENSMUST00000143272	成功
ENSG00000268191	ENSMUSG00000097077	ENST00000596027	ENSMUST00000181962	成功
ENSG00000241990	ENSMUSG00000101828	ENST00000416202	ENSMUST00000189171	成功
ENSG00000268289	ENSMUSG00000097472	ENST00000598893	ENSMUST00000181918	成功
ENSG00000241684	ENSMUSG00000108286	ENST00000474768	ENSMUST00000204131	成功
ENSG00000235770	ENSMUSG00000101764	ENST00000423530	ENSMUST00000185689	成功
ENSG00000231703	ENSMUSG00000097514	ENST00000436286	ENSMUST00000180625	成功
ENSG00000280335	ENSMUSG00000092569	ENST00000624037	ENSMUST00000174338	成功
ENSG00000245573	ENSMUSG00000109604	ENST00000500662	ENSMUST00000209925	成功
ENSG00000275549	ENSMUSG00000085830	ENST00000612170	ENSMUST00000129723	成功
ENSG00000279122	ENSMUSG00000090039	ENST00000623155	ENSMUST00000162828	成功
ENSG00000268756	ENSMUSG00000109314	ENST00000594558	ENSMUST00000208229	成功
ENSG00000226416	ENSMUSG00000043795	ENST00000419080	ENSMUST00000054910	成功
ENSG00000269514	ENSMUSG00000097150	ENST00000595310	ENSMUST00000181802	成功
ENSG00000256083	ENSMUSG00000034764	ENST00000544279	ENSMUST00000041178	成功
ENSG00000233766	ENSMUSG00000103424	ENST00000609952	ENSMUST00000194442	成功
ENSG00000255714	ENSMUSG00000086047	ENST00000543558	ENSMUST00000149413	成功
ENSG00000229543	ENSMUSG00000097136	ENST00000434440	ENSMUST00000180466	成功
ENSG00000269392	ENSMUSG00000108322	ENST00000597049	ENSMUST00000206342	成功
ENSG00000228889	ENSMUSG00000085615	ENST00000445737	ENSMUST00000131416	成功
ENSG00000229401	ENSMUSG00000097752	ENST00000366312	ENSMUST00000181176	成功
ENSG00000257009	ENSMUSG00000107756	ENST00000535066	ENSMUST00000203605	成功
ENSG00000228382	ENSMUSG00000104388	ENST00000412918	ENSMUST00000193199	成功
ENSG00000265408	ENSMUSG00000099465	ENST00000566869	ENSMUST00000185540	成功
ENSG00000282381	ENSMUSG00000107118	ENST00000632111	ENSMUST00000201618	成功
ENSG00000235166	ENSMUSG00000084829	ENST00000627300	ENSMUST00000146542	成功
ENSG00000234741	ENSMUSG00000104016	ENST00000451607	ENSMUST00000194567	成功
ENSG00000239608	ENSMUSG00000097730	ENST00000485218	ENSMUST00000181064	成功
ENSG00000255933	ENSMUSG00000104873	ENST00000537032	ENSMUST00000199847	成功
ENSG00000261220	ENSMUSG00000091412	ENST00000561761	ENSMUST00000171591	成功
ENSG00000275465	ENSMUSG00000089854	ENST00000624497	ENSMUST00000160065	成功
ENSG00000279298	ENSMUSG00000106659	ENST00000623422	ENSMUST00000196278	成功
ENSG00000262468	ENSMUSG00000086464	ENST00000573042	ENSMUST00000127697	成功
ENSG00000224950	ENSMUSG00000104639	ENST00000456414	ENSMUST00000197514	成功
ENSG00000279145	ENSMUSG00000103556	ENST00000623483	ENSMUST00000192321	成功
ENSG00000249532	ENSMUSG00000105447	ENST00000509938	ENSMUST00000198136	成功
ENSG00000231652	ENSMUSG00000091147	ENST00000428865	ENSMUST00000171278	成功
ENSG00000235035	ENSMUSG00000107842	ENST00000457851	ENSMUST00000203624	成功
ENSG00000234877	ENSMUSG00000101720	ENST00000420648	ENSMUST00000186773	成功
ENSG00000273747	ENSMUSG00000109428	ENST00000616598	ENSMUST00000208537	成功
ENSG00000272219	ENSMUSG00000102415	ENST00000606640	ENSMUST00000195666	成功
ENSG00000267439	ENSMUSG00000097750	ENST00000591091	ENSMUST00000206345	成功
ENSG00000277782	ENSMUSG00000085080	ENST00000620635	ENSMUST00000125131	成功
ENSG00000253708	ENSMUSG00000097442	ENST00000523733	ENSMUST00000181120	成功
ENSG00000234608	ENSMUSG00000104985	ENST00000443596	ENSMUST00000200668	成功
ENSG00000270894	ENSMUSG00000051832	ENST00000603678	ENSMUST00000171408	成功
ENSG00000277147	ENSMUSG00000104766	ENST00000610297	ENSMUST00000197696	成功
ENSG00000224865	ENSMUSG00000087379	ENST00000415393	ENSMUST00000153328	成功
ENSG00000278993	ENSMUSG00000105815	ENST00000623894	ENSMUST00000197208	成功
ENSG00000262585	ENSMUSG00000086547	ENST00000576738	ENSMUST00000144096	成功
ENSG00000215022	ENSMUSG00000089710	ENST00000606150	ENSMUST00000160241	成功
ENSG00000280078	ENSMUSG00000097543	ENST00000624275	ENSMUST00000181667	成功
ENSG00000261268	ENSMUSG00000103484	ENST00000561977	ENSMUST00000192390	成功
ENSG00000262312	ENSMUSG00000097590	ENST00000613210	ENSMUST00000181068	成功
ENSG00000235531	ENSMUSG00000054493	ENST00000518916	ENSMUST00000067599	成功
ENSG00000256364	ENSMUSG00000086368	ENST00000541383	ENSMUST00000149609	成功
ENSG00000243766	ENSMUSG00000107895	ENST00000614457	ENSMUST00000203771	成功
ENSG00000258773	ENSMUSG00000109548	ENST00000554787	ENSMUST00000207528	成功
ENSG00000251129	ENSMUSG00000106467	ENST00000513211	ENSMUST00000198717	成功
ENSG00000214548	ENSMUSG00000098202	ENST00000524035	ENSMUST00000182785	成功
ENSG00000283518	ENSMUSG00000104435	ENST00000637598	ENSMUST00000193794	成功
ENSG00000185065	ENSMUSG00000089979	ENST00000431090	ENSMUST00000160746	成功
ENSG00000277695	ENSMUSG00000073045	ENST00000615968	ENSMUST00000101355	成功
ENSG00000260630	ENSMUSG00000109957	ENST00000567997	ENSMUST00000210581	成功
ENSG00000278768	ENSMUSG00000089810	ENST00000618857	ENSMUST00000162209	成功
ENSG00000229520	ENSMUSG00000110412	ENST00000418660	ENSMUST00000211562	成功
ENSG00000251249	ENSMUSG00000105012	ENST00000515329	ENSMUST00000200057	成功
ENSG00000262038	ENSMUSG00000109754	ENST00000573040	ENSMUST00000210912	成功
ENSG00000279814	ENSMUSG00000090564	ENST00000623230	ENSMUST00000169054	成功
ENSG00000223626	ENSMUSG00000074469	ENST00000413637	ENSMUST00000151188	成功
ENSG00000266010	ENSMUSG00000097222	ENST00000579431	ENSMUST00000181316	成功
ENSG00000228812	ENSMUSG00000090589	ENST00000487421	ENSMUST00000172211	成功
ENSG00000279862	ENSMUSG00000106625	ENST00000623304	ENSMUST00000198723	成功
ENSG00000262188	ENSMUSG00000085059	ENST00000572353	ENSMUST00000146016	成功
ENSG00000270820	ENSMUSG00000085415	ENST00000603199	ENSMUST00000125204	成功
ENSG00000184608	ENSMUSG00000087652	ENST00000533578	ENSMUST00000137259	成功
ENSG00000233978	ENSMUSG00000103015	ENST00000438736	ENSMUST00000194096	成功
ENSG00000227543	ENSMUSG00000086586	ENST00000584675	ENSMUST00000127017	成功
ENSG00000258903	ENSMUSG00000087700	ENST00000554252	ENSMUST00000125308	成功
ENSG00000237126	ENSMUSG00000099401	ENST00000617813	ENSMUST00000185304	成功
ENSG00000233901	ENSMUSG00000085491	ENST00000444125	ENSMUST00000135700	成功
ENSG00000236546	ENSMUSG00000102997	ENST00000418255	ENSMUST00000192482	成功
ENSG00000267106	ENSMUSG00000062470	ENST00000586943	ENSMUST00000138471	成功
ENSG00000227929	ENSMUSG00000108103	ENST00000432981	ENSMUST00000204406	成功
ENSG00000279940	ENSMUSG00000104873	ENST00000624597	ENSMUST00000199847	成功
ENSG00000274956	ENSMUSG00000097005	ENST00000622794	ENSMUST00000180742	成功
ENSG00000236908	ENSMUSG00000107060	ENST00000432994	ENSMUST00000202448	成功
ENSG00000259690	ENSMUSG00000108418	ENST00000558671	ENSMUST00000206739	成功
ENSG00000267791	ENSMUSG00000087026	ENST00000585742	ENSMUST00000156084	成功
ENSG00000224805	ENSMUSG00000085323	ENST00000429328	ENSMUST00000155499	成功
ENSG00000256085	ENSMUSG00000105772	ENST00000539362	ENSMUST00000197976	成功
ENSG00000253196	ENSMUSG00000100287	ENST00000523657	ENSMUST00000190861	成功
ENSG00000229005	ENSMUSG00000087129	ENST00000452481	ENSMUST00000154065	成功
ENSG00000232416	ENSMUSG00000097072	ENST00000418282	ENSMUST00000181706	成功
ENSG00000259336	ENSMUSG00000101266	ENST00000559246	ENSMUST00000187452	成功
ENSG00000265206	ENSMUSG00000084796	ENST00000579003	ENSMUST00000123700	成功
ENSG00000246889	ENSMUSG00000103394	ENST00000500185	ENSMUST00000193475	成功
ENSG00000255234	ENSMUSG00000108826	ENST00000530045	ENSMUST00000207844	成功
ENSG00000282386	ENSMUSG00000105350	ENST00000633140	ENSMUST00000200437	成功
ENSG00000228271	ENSMUSG00000101888	ENST00000440556	ENSMUST00000187479	成功
ENSG00000258842	ENSMUSG00000100192	ENST00000553990	ENSMUST00000189898	成功
ENSG00000235527	ENSMUSG00000085754	ENST00000450706	ENSMUST00000123155	成功
ENSG00000273117	ENSMUSG00000097673	ENST00000609974	ENSMUST00000181503	成功
ENSG00000259891	ENSMUSG00000106847	ENST00000564464	ENSMUST00000202826	成功
ENSG00000272154	ENSMUSG00000097430	ENST00000625066	ENSMUST00000192479	成功
ENSG00000189149	ENSMUSG00000109113	ENST00000444326	ENSMUST00000207884	成功
ENSG00000257621	ENSMUSG00000085622	ENST00000551597	ENSMUST00000136690	成功
ENSG00000269220	ENSMUSG00000108171	ENST00000600723	ENSMUST00000203013	成功
ENSG00000122548	ENSMUSG00000108145	ENST00000242109	ENSMUST00000203781	成功
ENSG00000227199	ENSMUSG00000085264	ENST00000456775	ENSMUST00000131334	成功
ENSG00000271820	ENSMUSG00000097624	ENST00000607733	ENSMUST00000181658	成功
ENSG00000263080	ENSMUSG00000087384	ENST00000572706	ENSMUST00000126849	成功
ENSG00000186960	ENSMUSG00000104861	ENST00000399387	ENSMUST00000127041	成功
ENSG00000231671	ENSMUSG00000054426	ENST00000439146	ENSMUST00000191182	成功
ENSG00000278989	ENSMUSG00000109498	ENST00000624124	ENSMUST00000207029	成功
ENSG00000152931	ENSMUSG00000090358	ENST00000504876	ENSMUST00000164299	成功
ENSG00000283025	ENSMUSG00000055134	ENST00000635215	ENSMUST00000135670	成功
ENSG00000283064	ENSMUSG00000087097	ENST00000635439	ENSMUST00000122940	成功
ENSG00000259364	ENSMUSG00000086421	ENST00000558601	ENSMUST00000133534	成功
ENSG00000253636	ENSMUSG00000104379	ENST00000517664	ENSMUST00000194867	成功
ENSG00000250072	ENSMUSG00000104035	ENST00000515304	ENSMUST00000194401	成功
ENSG00000229807	ENSMUSG00000086370	ENST00000602587	ENSMUST00000130063	成功
ENSG00000227773	ENSMUSG00000105692	ENST00000458371	ENSMUST00000199915	成功
ENSG00000279701	ENSMUSG00000109576	ENST00000624220	ENSMUST00000208963	成功
ENSG00000237298	ENSMUSG00000086354	ENST00000590932	ENSMUST00000156809	成功
ENSG00000257741	ENSMUSG00000102934	ENST00000551399	ENSMUST00000194653	成功
ENSG00000224093	ENSMUSG00000104574	ENST00000427243	ENSMUST00000197198	成功
ENSG00000222000	ENSMUSG00000102879	ENST00000454230	ENSMUST00000192652	成功
ENSG00000242268	ENSMUSG00000085702	ENST00000484765	ENSMUST00000125611	成功
ENSG00000258497	ENSMUSG00000098202	ENST00000555328	ENSMUST00000182785	成功
ENSG00000261069	ENSMUSG00000109536	ENST00000567527	ENSMUST00000208498	成功
ENSG00000280061	ENSMUSG00000108790	ENST00000623331	ENSMUST00000205574	成功
ENSG00000266357	ENSMUSG00000086135	ENST00000584003	ENSMUST00000154037	成功
ENSG00000247867	ENSMUSG00000109282	ENST00000499390	ENSMUST00000207592	成功
ENSG00000269397	ENSMUSG00000103398	ENST00000594230	ENSMUST00000195630	成功
ENSG00000275437	ENSMUSG00000084843	ENST00000616512	ENSMUST00000145549	成功
ENSG00000259536	ENSMUSG00000074918	ENST00000561460	ENSMUST00000149978	成功
ENSG00000245526	ENSMUSG00000050334	ENST00000500197	ENSMUST00000131907	成功
ENSG00000213904	ENSMUSG00000108441	ENST00000593740	ENSMUST00000205665	成功
ENSG00000283638	ENSMUSG00000086173	ENST00000636668	ENSMUST00000138156	成功
ENSG00000197815	ENSMUSG00000097913	ENST00000354746	ENSMUST00000180821	成功
ENSG00000279249	ENSMUSG00000098295	ENST00000623424	ENSMUST00000183446	成功
ENSG00000223704	ENSMUSG00000097767	ENST00000434868	ENSMUST00000182953	成功
ENSG00000271855	ENSMUSG00000097055	ENST00000607241	ENSMUST00000180671	成功
ENSG00000226235	ENSMUSG00000097540	ENST00000447832	ENSMUST00000181254	成功
ENSG00000234693	ENSMUSG00000006462	ENST00000435177	ENSMUST00000130679	成功
ENSG00000254489	ENSMUSG00000087226	ENST00000525871	ENSMUST00000130634	成功
ENSG00000235280	ENSMUSG00000086770	ENST00000446789	ENSMUST00000123920	成功
ENSG00000265927	ENSMUSG00000086135	ENST00000580370	ENSMUST00000154037	成功
